Name,Cases,Deaths,,,,,Benton,2,0
Baker,,,#N/A,,,,Clackamas,6,0
Benton,3,0,2,,,,Deschutes,6,0
Clackamas,6,0,6,,,,Douglas,1,0
Clatsop,,,,,,,Jackson,2,0
Columbia,,,,,,,Klamath,1,0
Coos,,,,,,,Lane,2,1
Crook,,,,,,,Linn,18,0
Curry,,,,,,,Marion,13,0
Deschutes,6,0,6,,,,Multnomah,7,1
Douglas,1,0,1,,,,Polk,1,0
Gilliam,,,,,,,Umatilla,2,0
Grant,,,,,,,Washington,25,1
Harney,,,,,,,Yamhill,2,0
Hood River,,,,,,,Total,88,3
Jackson,2,0,2,,,,,,
Jefferson,,,,,,,,,
Josephine,,,,,,,,,
Klamath,1,0,1,,,,,,
Lake,,,,,,,,,
Lane,2,1,2,,,,,,
Lincoln,,,,,,,,,
Linn,15,0,,,,,,,
Malheur,,,,,,,,,
Marion,8,0,,,,,,,
Morrow,,,,,,,,,
Multnomah,3,1,,,,,,,
Polk,1,0,,,,,,,
Sherman,,,,,,,,,
Tillamook,,,,,,,,,
Umatilla,1,0,,,,,,,
Union,,,,,,,,,
Wallowa,,,,,,,,,
Wasco,,,,,,,,,
Washington,23,1,,,,,,,
Wheeler,,,,,,,,,
Yamhill,2,0,,,,,,,
Oregon,75,3,,,,,,,
