Date,Oregon,Baker,Benton,Clackamas,Clatsop,Columbia,Coos,Crook,Curry,Deschutes,Douglas,Gilliam,Grant,Harney,Hood River,Jackson,Jefferson,Josephine,Klamath,Lake,Lane,Lincoln,Linn,Malheur,Marion,Morrow,Multnomah,Polk,Sherman,Tillamook,Umatilla,Union,Wallowa,Wasco,Washington,Wheeler,Yamhill,
2/28/2020,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,
3/1/2020,2-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-0,,,
3/2/2020,3-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-0,,,
3/7/2020,5-0,,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,4-0,,,
3/8/2020,14-0,,,,,,,,,,1-0,,,,,,,,1-0,,,,,,1-0,,,,,,1-0,,,,8-0,,,
3/10/2020,14-0,,,,,,,,,,1-0,,,,,,,,1-0,,,,,,1-0,,1-0,,,,1-0,,,,8-0,,,
3/11/2020,19-0,,,,,,,,,1-0,1-0,,,,,,,,1-0,,,,2-0,,2-0,,1-0,1-0,,,2-0,,,,8-0,,,
3/12/2020,24-0,,,1-0,,,,,,1-0,1-0,,,,,,,,1-0,,,,8-0,,2-0,,1-0,1-0,,,2-0,,,,10-0,,,
3/13/2020,27-0,,,1-0,,,,,,3-0,1-0,,,,,,,,1-0,,,,8-0,,2-0,,1-0,1-0,,,2-0,,,,10-0,,,
3/14/2020,36-1,,,1-0,,,,,,3-0,1-0,,,,,,,,1-0,,,,9-0,,2-0,,1-1,1-0,,,2-0,,,,12-0,,,
3/15/2020,38-1,,,1-0,,,,,,4-0,1-0,,,,,,,,1-0,,,,9-0,,2-0,,1-1,1-0,,,2-0,,,,12-0,,1-0,
3/16/2020,44-1,,2-0,2-0,,,,,,6-0,1-0,,,,,,,,1-0,,,,13-0,,3-0,,2-1,1-0,,,2-0,,,,13-0,,1-0,
3/17/2020,66-1,,2-0,8-0,,,,,,6-0,1-0,,,,,,,,1-0,,2-1,,15-0,,4-0,,3-1,1-0,,,2-0,,,,21-0,,1-0,
3/18/2020,75-3,,2-0,8-0,,,,,,6-0,1-0,,,,,2-0,,,1-0,,2-1,,15-0,,10-0,,3-1,1-0,,,2-0,,,,23-1,,2-0,
3/19/2020,88-3,,2-0,8-0,,,,,,6-0,1-0,,,,,2-0,,,1-0,,2-1,,18-0,,13-0,,6-1,1-0,,,2-0,,,,25-1,,2-0,
3/20/2020,114-3,,2-0,10-0,,,,,,8-0,1-0,,1-0,,,2-0,,,1-0,,2-1,,19-0,,17-0,,12-1,1-0,,,2-0,1-0,,,31-1,,4-0,
3/21/2020,137-4-2338,0-0-1,2-0-67,11-0-256,0-0-30,0-0-32,0-0-30,0-0-5,0-0-11,9-0-66,1-0-37,0-0-1,1-0-0,0-0-1,0-0-15,2-0-124,0-0-5,1-0-20,1-0-26,0-0-0,3-1-145,0-0-19,19-0-265,0-0-13,19-1-160,0-0-4,18-1-498,1-0-33,0-0-0,0-0-8,2-0-19,1-0-11,0-0-3,0-0-8,42-1-330,0-0-1,4-0-94,
3/22/2020,161-4-2864,0-0-1,4-0-73,12-0-266,0-0-32,0-0-35,0-0-35,0-0-5,0-0-12,10-0-75,1-0-40,0-0-1,1-0-0,0-0-1,0-0-17,2-0-176,0-0-5,1-0-21,1-0-37,0-0-0,4-1-152,0-0-19,19-0-286,0-0-13,22-1-197,0-0-4,19-1-702,1-0-44,0-0-0,0-0-9,2-0-30,1-0-11,0-0-3,0-0-10,55-1-456,0-0-1,6-0-95,
3/23/2020,191-5-3649,0-0-2,4-0-121,14-0-431,0-0-43,0-0-49,0-0-44,0-0-5,0-0-12,10-0-91,1-0-48,0-0-1,1-0-0,0-0-1,1-0-38,2-0-207,0-0-6,1-0-29,1-0-45,0-0-0,4-1-171,0-0-18,20-1-315,0-0-13,30-1-295,0-0-4,21-1-796,3-0-71,0-0-1,0-0-9,2-0-34,1-0-14,0-0-3,0-0-19,69-1-612,0-0-1,6-0-100,
3/24/2020,209-8-4350,0-0-3,4-0-138,17-1-443,1-0-45,0-0-51,0-0-53,0-0-5,0-0-12,10-0-102,1-0-55,0-0-1,1-0-1,0-0-8,1-0-43,3-0-285,0-0-6,1-0-34,1-0-47,0-0-0-,4-1-181,0-0-18,20-1-353,0-0-18,32-1-351,0-0-8,25-2-1070,3-0-80,0-0-1,0-0-14,2-0-38,1-0-14,0-0-3,0-0-22,76-2-679,0-0-1,6-0-167,
